dsb_id,event_id,x_um,y_um,z_um,complexity,n_backbone_breaks,n_base_damage,has_base_damage_in_cluster,cause,direct_fraction,indirect_fraction,chromosome,chromosome_position
0,0,-0.049857,0.007761,2.613474,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.55390067373
1,0,-0.007156,0.073645,-0.252677,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.712061159241
2,0,-0.049275,0.008548,-1.988474,DSB,2,0,0,DIRECT,1.0,0.0,18,0.425857904472
3,0,-0.052207,0.009343,-3.820262,DSB,2,0,0,DIRECT,1.0,0.0,18,0.711139932041
4,0,0.248915,0.3043,-0.460599,DSB,2,0,0,DIRECT,1.0,0.0,23,0.070477025535
5,1,-0.0606052,0.030583,3.9139,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.193630880059
6,1,-0.05612,0.0304,3.794098,DSB,2,0,0,DIRECT,1.0,0.0,13,0.196885195047
7,1,-0.068224,-0.226431,-4.476534,DSB+,4,1,1,DIRECT,1.0,0.0,18,0.790713065178
8,1,-0.094983,0.04135,-1.472048,DSB,2,2,1,DIRECT,1.0,0.0,23,0.003247943021
9,2,-0.0563298,0.0767663,2.2305,DSB,2,0,0,DIRECT,1.0,0.0,13,0.474951966103
10,2,0.843116,-0.260117,-2.577345,DSB,2,0,0,DIRECT,1.0,0.0,18,0.330353006983
11,2,-0.070174,0.07732,-3.201437,DSB,2,0,0,DIRECT,1.0,0.0,18,0.623423687889
12,3,0.020521,-0.028983,0.887414,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.9174882962
13,3,0.022433,-0.031199,-3.194095,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.622205327676
14,4,-0.007724,0.005219,3.23424,DSB+,3,1,1,DIRECT,1.0,0.0,13,0.263497186533
15,4,0.005598,-0.018346,3.264001,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.263469365773
16,4,-0.006765,0.004062,-1.163743,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.851657471551
17,4,-0.00655,0.005285,-3.256996,DSB+,4,0,0,DIRECT,1.0,0.0,18,0.62197641087
18,4,-0.006374,0.004895,-1.743449,DSB,2,2,1,DIRECT,1.0,0.0,22,0.004477149435
19,4,-0.017675,0.017111,-1.945516,DSB,2,1,1,DIRECT,1.0,0.0,22,0.003827196873
20,5,0.000194,-0.040538,-0.409299,DSB+,3,2,1,DIRECT,1.0,0.0,16,0.765515080526
21,5,-0.000682,-0.040149,-0.843244,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.797750216986
22,5,-0.000377,-0.039751,0.274385,DSB,2,1,1,DIRECT,1.0,0.0,16,0.492989343577
23,5,0.002154,-0.060356,-2.346719,DSB+,3,2,1,DIRECT,1.0,0.0,18,0.403863269252
24,5,-0.000677,-0.040378,-2.218648,DSB,2,2,1,DIRECT,1.0,0.0,18,0.423868479198
25,5,0.005003,-0.0439,-3.850746,DSB,2,0,0,DIRECT,1.0,0.0,18,0.710384998982
26,5,0.552597,0.939936,2.635995,DSB,2,0,0,DIRECT,1.0,0.0,25,0.075674896061
27,6,-0.547592,-0.559593,2.21221,DSB+,3,0,0,DIRECT,1.0,0.0,7,0.614912204267
28,6,0.841088,-0.363321,1.203242,DSB,2,0,0,DIRECT,1.0,0.0,16,0.123838549033
29,6,0.050935,-0.012202,-2.627048,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.325432230248
30,6,0.050129,-0.012371,-2.623876,DSB,2,1,1,DIRECT,1.0,0.0,18,0.32543302534
31,6,0.051657,-0.011776,-4.385474,DSB,2,0,0,DIRECT,1.0,0.0,18,0.875900720884
32,7,-1.209154,-0.71695,-0.042363,DSB,2,1,1,DIRECT,1.0,0.0,12,0.447043051913
33,7,-0.094422,-0.04428,0.700055,DSB+,3,1,1,DIRECT,1.0,0.0,13,0.917115565715
34,7,-0.096458,-0.053475,2.461468,DSB,2,0,0,DIRECT,1.0,0.0,13,0.480559628137
35,7,-0.085846,-0.028675,1.148866,DSB,2,0,0,DIRECT,1.0,0.0,13,0.90352529658
36,7,-0.093417,-0.044081,-0.960818,DSB+,3,2,1,DIRECT,1.0,0.0,16,0.798794515612
37,7,-0.094435,-0.044535,0.107637,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.495360866444
38,7,-0.101309,-0.090232,-2.39001,DSB,2,1,1,DIRECT,1.0,0.0,18,0.406506574157
39,7,-2.237265,1.316135,-3.448674,DSB,2,2,1,DIRECT,1.0,0.0,22,0.93580648541
40,7,-2.24066,1.312414,-3.446918,DSB,2,0,0,DIRECT,1.0,0.0,22,0.935807554962
41,8,-0.106029,0.029986,2.284224,DSB,2,1,1,DIRECT,1.0,0.0,13,0.481051230822
42,8,-0.105569,0.035161,1.472091,DSB,2,1,1,DIRECT,1.0,0.0,13,0.827854594672
43,8,-0.105336,0.030445,1.733653,DSB,2,0,0,DIRECT,1.0,0.0,13,0.430236821146
