dsb_id,event_id,x_um,y_um,z_um,complexity,n_backbone_breaks,n_base_damage,has_base_damage_in_cluster,cause,direct_fraction,indirect_fraction,chromosome,chromosome_position
0,404,3.97728,-0.384652,0.0865505,DSB,2,1,1,DIRECT,1.0,0.0,21,0.113306783721
1,585,1.25511,-3.03861,0.121364,DSB,2,0,0,DIRECT,1.0,0.0,2,0.98193313351
2,904,1.98901,-2.111,-2.37776,DSB,2,0,0,DIRECT,1.0,0.0,9,0.313022721669
3,1208,2.6331,2.22526,0.65044,DSB,2,0,0,DIRECT,1.0,0.0,37,0.650621138644
4,1349,-3.568309,1.13968,0.26716,DSB,2,0,0,DIRECT,1.0,0.0,20,0.396291807314
5,1498,2.16908,-0.977549,1.56087,DSB,2,1,1,DIRECT,1.0,0.0,10,0.286720134825
6,1575,-0.877705,-1.22325,1.69892,DSB,2,0,0,DIRECT,1.0,0.0,7,0.014121659145
7,1640,-1.10346,0.476144,3.13734,DSB,2,2,1,DIRECT,1.0,0.0,13,0.62252123795
8,1788,-2.93234,1.40381,-1.23179,DSB,2,0,0,DIRECT,1.0,0.0,26,0.11883270327
9,2240,-0.767677,3.98669,0.63749,DSB,2,1,1,DIRECT,1.0,0.0,45,0.377559316055
10,2398,-3.55975,-0.993622,2.75866,DSB,2,0,0,DIRECT,1.0,0.0,4,0.261397550744
11,2481,-1.95641,-1.86085,-0.4581,DSB,2,0,0,DIRECT,1.0,0.0,4,0.546487735587
12,3871,-2.35426,-1.79738,2.04394,DSB,2,0,0,DIRECT,1.0,0.0,4,0.110645148031
13,3919,-3.10222,-2.65308,1.81147,DSB,2,1,1,DIRECT,1.0,0.0,4,0.009837788174
14,4297,0.194608,-3.66474,0.479645,DSB,2,0,0,DIRECT,1.0,0.0,1,0.786321302792
15,4465,-2.65782,-0.819454,3.05906,DSB+,3,3,1,DIRECT,1.0,0.0,4,0.85612735486
16,4821,0.864044,1.64078,-0.137622,DSB,2,1,1,DIRECT,1.0,0.0,27,0.642059916092
17,6825,-3.23677,-0.98696,-1.88204,DSB,2,0,0,DIRECT,1.0,0.0,12,0.128827038217
18,7043,1.22655,-0.151221,-4.39714,DSB+,3,1,1,DIRECT,1.0,0.0,18,0.843270081657
19,7374,0.158416,0.215319,-2.988817,DSB,2,0,0,DIRECT,1.0,0.0,18,0.627215726645
20,8189,-0.94013,0.773021,-4.018426,DSB,2,0,0,DIRECT,1.0,0.0,22,0.607720407623
21,8303,2.85053,-1.47457,-2.10021,DSB,2,0,0,DIRECT,1.0,0.0,9,0.92518573548
22,8842,-0.448904,2.35669,2.27311,DSB,2,1,1,DIRECT,1.0,0.0,30,0.08787429717
23,8869,1.25143,-2.60302,-2.09764,DSB+,3,0,0,DIRECT,1.0,0.0,9,0.048174096735
24,9334,1.724418,0.399245,-2.045314,DSB,2,0,0,DIRECT,1.0,0.0,23,0.341438776883
25,9652,1.97699,-0.300175,1.49955,DSB,2,0,0,DIRECT,1.0,0.0,14,0.441852019406
26,9930,0.235748,2.82946,1.41496,DSB,2,0,0,DIRECT,1.0,0.0,31,0.508678413903
27,10861,0.63039,1.647581,1.509277,DSB,2,0,0,DIRECT,1.0,0.0,26,0.651020616347
28,10988,1.741618,2.50312,-3.480875,DSB+,3,0,0,DIRECT,1.0,0.0,43,0.97231908605
29,11383,-3.05107,-1.18903,-1.70999,DSB,2,0,0,DIRECT,1.0,0.0,8,0.695424138943
30,11687,-1.67514,1.65721,0.636803,DSB,2,0,0,DIRECT,1.0,0.0,26,0.257581183833
31,11999,1.892388,0.007625,-2.670677,DSB+,3,3,1,DIRECT,1.0,0.0,23,0.332480982088
32,12086,-3.91301,-1.42485,1.97949,DSB,2,0,0,DIRECT,1.0,0.0,4,0.122691675028
33,12876,1.95424,3.8632,0.9856,DSB+,3,0,0,DIRECT,1.0,0.0,46,0.402054578687
34,12955,2.35782,-0.565801,1.30343,DSB,2,0,0,DIRECT,1.0,0.0,10,0.701664422832
35,13298,3.54541,1.18783,-0.813443,DSB,2,0,0,DIRECT,1.0,0.0,30,0.435307150845
36,14058,1.89672,-0.352395,-0.24118,DSB,2,0,0,DIRECT,1.0,0.0,14,0.948814398598
37,14346,-0.157993,-1.830865,-0.9676,DSB,2,3,1,DIRECT,1.0,0.0,8,0.160236908878
38,14360,-1.30665,-3.03391,-2.41767,DSB,2,1,1,DIRECT,1.0,0.0,3,0.495655391546
39,14839,0.39971,1.72623,2.94268,DSB,2,0,0,DIRECT,1.0,0.0,25,0.997643581501
40,15074,1.33308,-1.28751,3.31671,DSB,2,0,0,DIRECT,1.0,0.0,6,0.597252320866
41,15119,-0.662327,4.13759,0.843166,DSB,2,0,0,DIRECT,1.0,0.0,45,0.536764947307
42,16020,-1.01509,-1.97751,1.36594,DSB,2,0,0,DIRECT,1.0,0.0,4,0.421068190702
43,16062,0.744379,-1.97429,2.43361,DSB+,3,0,0,DIRECT,1.0,0.0,6,0.203210210537
44,16173,0.961739,-2.14578,-1.20286,DSB+,3,1,1,DIRECT,1.0,0.0,9,0.091731083659
45,16436,-3.29683,0.259882,1.32827,DSB,2,0,0,DIRECT,1.0,0.0,12,0.280619355451
46,16767,-2.88769,0.430931,2.8429,DSB+,4,0,0,DIRECT,1.0,0.0,13,0.237512750156
47,16806,-1.57087,3.2467,-2.35678,DSB,2,1,1,DIRECT,1.0,0.0,41,0.162682571671
48,16806,-1.618572,3.246382,-2.386936,DSB,2,0,0,DIRECT,1.0,0.0,41,0.166738618868
49,16867,2.12773,2.77419,1.76331,DSB,2,0,0,DIRECT,1.0,0.0,37,0.452433120863
50,17274,-0.119101,-0.877072,4.31739,DSB+,3,2,1,DIRECT,1.0,0.0,7,0.149689010116
51,17777,-1.07184,0.0851952,-3.99408,DSB,2,1,1,DIRECT,1.0,0.0,19,0.981667881512
52,18571,2.04258,-1.41689,-1.92256,DSB,2,1,1,DIRECT,1.0,0.0,9,0.977090567674
53,18610,-2.219092,2.656657,-0.474761,DSB,2,0,0,DIRECT,1.0,0.0,31,0.781782673928
54,18861,-3.29167,-1.49361,-0.232453,DSB+,3,1,1,DIRECT,1.0,0.0,4,0.597044487965
55,19632,-3.21137,2.79601,1.3149,DSB,2,1,1,DIRECT,1.0,0.0,28,0.349120403112
56,19667,0.735828,2.87659,3.15875,DSB,2,3,1,DIRECT,1.0,0.0,38,0.123391533031
57,20008,-0.967265,-1.89995,0.833538,DSB,2,0,0,DIRECT,1.0,0.0,4,0.476701451097
58,20395,-1.04904,0.881866,-1.76208,DSB,2,0,0,DIRECT,1.0,0.0,27,0.149052112801
59,20780,0.700357,3.86988,-1.40204,DSB+,3,0,0,DIRECT,1.0,0.0,46,0.726009526843
60,20808,-0.205123,1.2878,0.96108,DSB+,3,0,0,DIRECT,1.0,0.0,25,0.797454314003
61,20850,3.20643,1.68065,0.484801,DSB,2,0,0,DIRECT,1.0,0.0,30,0.710257158833
62,21357,2.12995,0.868869,0.638136,DSB,2,1,1,DIRECT,1.0,0.0,23,0.535003229387
63,21658,-1.47823,-1.49726,0.674669,DSB,2,0,0,DIRECT,1.0,0.0,4,0.630580136768
64,22151,2.200132,2.39954,0.74086,DSB,2,1,1,DIRECT,1.0,0.0,37,0.646372698494
65,22514,-0.626167,3.04843,-0.497202,DSB,2,0,0,DIRECT,1.0,0.0,39,0.158671805752
66,22580,-3.7789,-1.57497,-1.84264,DSB,2,0,0,DIRECT,1.0,0.0,8,0.184464210288
67,22780,3.23768,0.121266,2.59643,DSB,2,1,1,DIRECT,1.0,0.0,14,0.725781283276
68,23198,0.310149,-1.09461,-4.00239,DSB,2,0,0,DIRECT,1.0,0.0,15,0.240056068107
69,23297,-0.822292,-0.720428,0.975167,DSB,2,1,1,DIRECT,1.0,0.0,11,0.817713279823
70,23360,-0.0991633,-1.09888,-1.57038,DSB,2,0,0,DIRECT,1.0,0.0,9,0.449839968597
71,23809,-0.405418,-0.325067,-0.628271,DSB,2,2,1,DIRECT,1.0,0.0,16,0.412553375873
72,23809,-0.392705,-0.305994,-0.760475,DSB,2,0,0,DIRECT,1.0,0.0,16,0.382019007704
73,24666,0.735247,-3.4324,-0.48226,DSB+,3,2,1,DIRECT,1.0,0.0,5,0.11703437852
74,25368,-1.860073,-2.376039,-3.174035,DSB,2,2,1,DIRECT,1.0,0.0,8,0.007346629767
75,25703,-0.810729,-2.57406,-3.25906,DSB,2,1,1,DIRECT,1.0,0.0,5,0.654425260316
76,25836,1.92241,-1.49973,3.60695,DSB,2,0,0,DIRECT,1.0,0.0,6,0.600909276701
77,25871,-2.92669,-1.52406,2.79459,DSB+,4,1,1,DIRECT,1.0,0.0,4,0.166396551377
78,26346,-1.52301,0.705118,-4.21505,DSB,2,0,0,DIRECT,1.0,0.0,22,0.600161036606
79,26598,-0.641382,0.333962,-2.618299,DSB,2,1,1,DIRECT,1.0,0.0,18,0.516007625911
80,26692,1.70275,2.17617,-1.96452,DSB,2,0,0,DIRECT,1.0,0.0,35,0.510731830794
81,27418,3.01144,2.83827,-1.28248,DSB,2,1,1,DIRECT,1.0,0.0,43,0.367720870526
82,27445,1.97253,-2.54647,-3.08494,DSB,2,0,0,DIRECT,1.0,0.0,9,0.266855949029
83,27594,2.13322,1.46837,-2.94852,DSB+,3,0,0,DIRECT,1.0,0.0,32,0.859275899219
84,27594,2.13392,1.468655,-2.948731,DSB+,3,0,0,DIRECT,1.0,0.0,32,0.859275932266
85,27743,1.83379,-0.750958,1.89503,DSB,2,0,0,DIRECT,1.0,0.0,14,0.075438687845
86,28244,-0.977881,-2.486549,-3.220444,DSB,2,1,1,DIRECT,1.0,0.0,5,0.652563014543
87,28293,0.463879,-3.177819,-0.130017,DSB,2,2,1,DIRECT,1.0,0.0,5,0.10898842483
88,28362,-3.05668,-1.140009,0.499752,DSB,2,1,1,DIRECT,1.0,0.0,11,0.082532957526
89,28362,-2.938569,-0.90125,0.11945,DSB,2,0,0,DIRECT,1.0,0.0,11,0.37624668136
90,28872,0.0395575,-3.9932,0.664225,DSB,2,0,0,DIRECT,1.0,0.0,1,0.438652833284
91,28994,-2.54619,3.14655,-1.37867,DSB,2,0,0,DIRECT,1.0,0.0,39,0.014557268584
92,29052,-0.464877,2.33397,3.77185,DSB,2,0,0,DIRECT,1.0,0.0,29,0.035365637213
93,29060,-0.767308,-2.73288,-3.30096,DSB,2,0,0,DIRECT,1.0,0.0,5,0.653345845574
94,30018,-1.97498,-0.761697,1.91426,DSB,2,0,0,DIRECT,1.0,0.0,7,0.405767257699
95,30110,-0.618971,-0.786987,1.124799,DSB+,3,1,1,DIRECT,1.0,0.0,11,0.845295255947
96,30439,0.9577,-1.970324,3.205522,DSB,2,0,0,DIRECT,1.0,0.0,6,0.170507502933
97,30543,-2.29636,0.897174,-0.104338,DSB,2,0,0,DIRECT,1.0,0.0,19,0.662430037921
98,30762,-1.35569,3.32375,-2.04086,DSB,2,0,0,DIRECT,1.0,0.0,41,0.200073975792
99,30769,-2.20154,0.933563,-1.16606,DSB,2,1,1,DIRECT,1.0,0.0,20,0.979750681904
100,30884,1.02173,-2.90934,2.73304,DSB,2,0,0,DIRECT,1.0,0.0,2,0.257848144474
101,31372,-0.138151,-0.432232,-2.324354,DSB,2,1,1,DIRECT,1.0,0.0,15,0.716123197141
102,31470,-2.2378,0.444099,-0.608672,DSB,2,0,0,DIRECT,1.0,0.0,16,0.732821179439
103,31691,-0.355884,-2.00577,1.87663,DSB,2,0,0,DIRECT,1.0,0.0,4,0.378942842636
104,32301,1.21548,-1.6038,0.408414,DSB,2,0,0,DIRECT,1.0,0.0,6,0.979934968697
105,33200,-1.44089,2.30766,-0.30271,DSB+,3,2,1,DIRECT,1.0,0.0,28,0.706789268771
106,33346,1.9465,2.70948,1.73237,DSB,2,1,1,DIRECT,1.0,0.0,37,0.452700270027
107,33697,-0.129155,1.539773,0.873105,DSB,2,0,0,DIRECT,1.0,0.0,26,0.74613958253
108,33752,-0.685112,-2.9758,-0.461487,DSB+,3,2,1,DIRECT,1.0,0.0,3,0.337418331943
109,34171,-2.05146,-2.51834,-1.00489,DSB,2,1,1,DIRECT,1.0,0.0,3,0.612160152645
110,34925,2.40232,2.73166,0.943953,DSB+,3,0,0,DIRECT,1.0,0.0,39,0.387269762691
111,34940,0.306682,-1.59011,-1.9921,DSB,2,2,1,DIRECT,1.0,0.0,8,0.802093157875
112,35432,0.795569,-0.0109806,3.91569,DSB,2,0,0,DIRECT,1.0,0.0,14,0.156256932109
113,35543,-0.0136072,-3.95555,-1.28713,DSB,2,0,0,DIRECT,1.0,0.0,1,0.938925304323
114,35616,3.88569,2.31076,-0.544516,DSB,2,0,0,DIRECT,1.0,0.0,36,0.818992729484
115,35771,-0.59136,1.75998,0.571979,DSB+,3,2,1,DIRECT,1.0,0.0,26,0.794147631906
116,35773,3.26282,-0.637688,2.59268,DSB,2,0,0,DIRECT,1.0,0.0,14,0.275983562362
117,35891,2.63643,1.08085,-2.20164,DSB,2,0,0,DIRECT,1.0,0.0,32,0.309047013179
118,36061,2.372335,2.574717,-0.83355,DSB+,3,1,1,DIRECT,1.0,0.0,41,0.399826743104
119,36170,-0.493968,-1.13628,-3.11768,DSB,2,0,0,DIRECT,1.0,0.0,9,0.882021192617
120,36282,-2.987526,1.445154,-1.783081,DSB,2,1,1,DIRECT,1.0,0.0,27,0.123600011787
121,36434,-2.00464,0.279782,2.559,DSB,2,0,0,DIRECT,1.0,0.0,13,0.280959397693
122,37114,-1.3932,-2.92663,2.46653,DSB,2,1,1,DIRECT,1.0,0.0,2,0.100943346971
123,37400,-2.73695,-2.49508,-0.884932,DSB+,3,1,1,DIRECT,1.0,0.0,3,0.6275975854
124,37410,2.09315,1.47403,-0.7105,DSB,2,0,0,DIRECT,1.0,0.0,30,0.522637244244
125,37699,1.531672,-2.182315,-1.199323,DSB,2,1,1,DIRECT,1.0,0.0,9,0.167585346837
126,38135,1.18003,-0.481459,3.96556,DSB,2,1,1,DIRECT,1.0,0.0,7,0.741788575356
127,38395,0.294087,-0.0179063,4.5875,DSB+,3,1,1,DIRECT,1.0,0.0,7,0.847920347194
128,38467,-2.51713,1.84064,0.72567,DSB,2,0,0,DIRECT,1.0,0.0,26,0.291394693755
129,38567,-2.76264,1.73123,-1.12794,DSB,2,2,1,DIRECT,1.0,0.0,26,0.969359153058
130,38739,0.298648,1.596177,-0.608614,DSB,2,0,0,DIRECT,1.0,0.0,27,0.654928716923
131,39065,2.94465,0.234226,0.770519,DSB,2,0,0,DIRECT,1.0,0.0,21,0.456950308787
132,39502,0.936905,-0.565052,2.03914,DSB,2,0,0,DIRECT,1.0,0.0,7,0.946506052991
133,40955,-1.05691,1.20487,3.94882,DSB,2,1,1,DIRECT,1.0,0.0,17,0.398039239892
134,41111,3.21004,0.910359,2.60154,DSB,2,1,1,DIRECT,1.0,0.0,24,0.351245427498
135,41111,3.219926,0.940691,2.357706,DSB,2,0,0,DIRECT,1.0,0.0,24,0.340289521563
