dsb_id,event_id,x_um,y_um,z_um,complexity,n_backbone_breaks,n_base_damage,has_base_damage_in_cluster,cause,direct_fraction,indirect_fraction,chromosome,chromosome_position
0,0,-0.052066,0.010288,-0.535246,DSB,2,0,0,DIRECT,1.0,0.0,16,0.766516115897
1,2,-0.0566273,0.0775107,1.32729,DSB,2,0,0,DIRECT,1.0,0.0,13,0.828521037296
2,3,0.029376,-0.032922,1.012155,DSB,2,1,1,DIRECT,1.0,0.0,13,0.903780385871
3,3,-0.264601,0.10174,3.051751,DSB,2,0,0,DIRECT,1.0,0.0,13,0.561458657242
4,5,-0.001856,-0.040281,-2.005127,DSB,2,2,1,DIRECT,1.0,0.0,18,0.424708012855
5,6,0.051298,-0.01363,-3.32358,DSB,2,0,0,DIRECT,1.0,0.0,18,0.699889328747
6,8,-0.105728,0.03052,-0.013315,DSB,2,0,0,DIRECT,1.0,0.0,16,0.679527559899
7,10,-0.023962,-0.00073,-4.043368,DSB,2,0,0,DIRECT,1.0,0.0,18,0.782945586401
8,11,0.165643,0.141224,-2.110431,DSB,2,2,1,DIRECT,1.0,0.0,18,0.50314605425
9,14,-0.0151022,-0.0591087,0.775212,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.918306552774
10,14,-0.030212,-0.061487,-1.679948,DSB,2,1,1,DIRECT,1.0,0.0,15,0.627525442276
11,15,0.020454,-0.027055,-2.15053,DSB,2,1,1,DIRECT,1.0,0.0,18,0.425468560381
12,15,0.011598,-0.02223,-4.336806,DSB,2,0,0,DIRECT,1.0,0.0,18,0.792533449668
13,17,-2.36333e-05,-0.276499,1.08314,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.399913755643
14,18,0.0807944,-0.019843,0.614929,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.993710224622
15,22,0.071357,0.076521,4.111621,DSB+,3,0,0,DIRECT,1.0,0.0,17,0.035587294148
16,25,0.011205,0.076239,-3.506737,DSB,2,1,1,DIRECT,1.0,0.0,18,0.700434692244
17,28,0.044403,-0.0548,-2.004239,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.424756206601
18,30,-0.307974,-0.127224,2.81329,DSB,2,0,0,DIRECT,1.0,0.0,13,0.309357802061
19,30,0.095853,-0.020816,-0.981862,DSB,2,0,0,DIRECT,1.0,0.0,16,0.852018880459
20,39,-0.022438,0.053548,-3.509585,DSB,2,0,0,DIRECT,1.0,0.0,18,0.70040200977
21,42,-0.010021,-0.070487,-2.187735,DSB,2,2,1,DIRECT,1.0,0.0,18,0.425089371152
22,45,-0.0548283,-0.0679929,2.07512,DSB,2,0,0,DIRECT,1.0,0.0,13,0.474421857516
23,45,0.003798,-0.025531,-0.921733,DSB+,3,1,1,DIRECT,1.0,0.0,16,0.796252986906
24,47,0.052416,0.070016,-2.90829,DSB+,4,0,0,DIRECT,1.0,0.0,18,0.607465448362
25,50,0.020236,-0.252263,-0.753569,DSB,2,0,0,DIRECT,1.0,0.0,16,0.385926831522
26,52,0.086071,0.164184,-4.22346,DSB,2,0,0,DIRECT,1.0,0.0,18,0.885635515792
27,53,0.056179,-0.071126,-1.446447,DSB,2,0,0,DIRECT,1.0,0.0,16,0.882907156787
28,55,0.00032323,-0.0768373,3.65414,DSB,2,0,0,DIRECT,1.0,0.0,13,0.196217022859
29,63,-0.042645,-0.062342,-0.891986,DSB+,3,1,1,DIRECT,1.0,0.0,16,0.797489097124
30,64,-0.027972,0.057796,3.403617,DSB,2,0,0,DIRECT,1.0,0.0,13,0.260706296478
31,65,0.043145,0.002381,-0.680524,DSB,2,0,0,DIRECT,1.0,0.0,16,0.79799663002
32,65,0.041327,-0.015034,-2.4961,DSB+,3,1,1,DIRECT,1.0,0.0,18,0.404580421483
33,68,0.042867,-0.092534,3.480643,DSB,2,1,1,DIRECT,1.0,0.0,13,0.258719955733
34,68,0.047076,-0.100991,-3.520418,DSB,2,0,0,DIRECT,1.0,0.0,18,0.698870801704
35,73,0.143319,0.111014,-1.063477,DSB,2,0,0,DIRECT,1.0,0.0,23,0.035877454741
36,74,0.059668,0.073669,-0.321434,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.710731624502
37,76,-0.00319,0.065279,4.034117,DSB,2,0,0,DIRECT,1.0,0.0,17,0.037834531551
38,77,-0.01541,0.00952,-4.043473,DSB,2,0,0,DIRECT,1.0,0.0,18,0.782944163605
39,79,0.017029,-0.027315,-3.079734,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.621449020642
40,82,0.042961,0.037333,0.764523,DSB,2,0,0,DIRECT,1.0,0.0,13,0.918191712122
41,84,0.099783,-0.024656,-0.428636,DSB+,3,1,1,DIRECT,1.0,0.0,16,0.764452137178
42,84,0.082661,-0.000535,3.9573,DSB+,3,0,0,DIRECT,1.0,0.0,17,0.036176827108
43,86,0.433501,0.306512,2.74161,DSB,2,0,0,DIRECT,1.0,0.0,17,0.188435091185
44,86,0.001974,-0.039108,-2.148348,DSB,2,1,1,DIRECT,1.0,0.0,18,0.425458412494
45,87,0.0395719,-0.0194748,0.898215,DSB,2,0,0,DIRECT,1.0,0.0,13,0.917493361794
46,87,0.006225,-0.009777,-1.033112,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.850944451588
47,89,0.0195684,-0.00791933,3.63529,DSB,2,0,0,DIRECT,1.0,0.0,13,0.196282586297
48,90,-0.021652,-0.35198,3.29153,DSB,2,0,0,DIRECT,1.0,0.0,7,0.717124294704
49,97,0.048255,0.087211,-4.064346,DSB,2,2,1,DIRECT,1.0,0.0,18,0.884827339454
50,102,0.015069,0.06911,4.185493,DSB+,3,1,1,DIRECT,1.0,0.0,17,0.037111667211
51,105,-0.0306354,0.112102,3.41042,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.260736523858
52,106,-0.027021,0.073072,-3.09232,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.62137456793
53,111,-0.338216,0.027286,-0.703968,DSB,2,0,0,DIRECT,1.0,0.0,16,0.762032897486
54,112,-0.069205,0.039271,2.765047,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.553716484293
55,112,-0.065115,0.057515,-3.070013,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.622683436137
56,112,-0.070013,0.040149,-4.060238,DSB,2,0,0,DIRECT,1.0,0.0,18,0.783650958714
57,114,-0.036831,0.012438,-0.641306,DSB,2,2,1,DIRECT,1.0,0.0,16,0.764911002261
58,115,0.0906782,-0.0488395,0.456027,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.993902631031
59,115,0.090314,-0.044298,3.392797,DSB,2,0,0,DIRECT,1.0,0.0,13,0.258806440137
60,118,-0.031757,0.005741,-4.084233,DSB,2,0,0,DIRECT,1.0,0.0,18,0.782902177158
61,119,-0.002876,0.014891,-2.073467,DSB,2,0,0,DIRECT,1.0,0.0,18,0.424519910782
62,119,-0.004577,0.012335,-2.070399,DSB,2,0,0,DIRECT,1.0,0.0,18,0.424520057247
63,121,-0.384076,0.051728,-0.40381,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.713696671006
64,122,-0.097132,0.055409,-0.478663,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.76557611788
65,122,-0.105053,-0.2569,-4.032153,DSB+,4,0,0,DIRECT,1.0,0.0,18,0.138637755999
66,124,-0.46549,-0.547667,-4.07154,DSB,2,0,0,DIRECT,1.0,0.0,15,0.917207410473
67,125,-0.0211028,-0.0650959,1.00857,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.903929479296
68,127,0.038883,-0.007424,-3.434622,DSB,2,0,0,DIRECT,1.0,0.0,18,0.700634602133
69,131,-0.044787,0.091492,-2.869582,DSB,2,1,1,DIRECT,1.0,0.0,18,0.608600344819
70,136,-0.000967,-0.00564,-3.209854,DSB,2,0,0,DIRECT,1.0,0.0,18,0.62217405405
71,137,-0.0538835,-0.0302179,3.40939,DSB+,3,2,1,DIRECT,1.0,0.0,13,0.260631038859
72,137,-0.041905,-0.028323,-2.198059,DSB,2,0,0,DIRECT,1.0,0.0,18,0.425205531331
73,138,0.214309,0.109053,1.556827,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.826120671933
74,140,-0.0567483,-0.0615151,0.693014,DSB,2,0,0,DIRECT,1.0,0.0,13,0.917052408896
75,143,0.034416,0.0435,-3.289421,DSB,2,1,1,DIRECT,1.0,0.0,18,0.701073283787
76,146,-0.000665,-0.057408,-2.217276,DSB,2,0,0,DIRECT,1.0,0.0,18,0.423843949906
77,147,-0.0487048,-0.0408964,0.632313,DSB,2,0,0,DIRECT,1.0,0.0,13,0.994653145285
78,148,-0.126965,0.0740387,1.87705,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.430808697804
79,148,-0.096206,0.013938,-1.408091,DSB,2,0,0,DIRECT,1.0,0.0,16,0.886034828929
80,149,-0.222792,-0.114515,-0.251465,DSB,2,0,0,DIRECT,1.0,0.0,16,0.465184444784
81,150,0.00265339,0.0255841,4.46307,DSB,2,0,0,DIRECT,1.0,0.0,7,0.845715748209
82,151,0.099572,0.008002,-0.567071,DSB,2,0,0,DIRECT,1.0,0.0,16,0.765186440519
83,154,-0.010015,-0.044352,0.408316,DSB,2,0,0,DIRECT,1.0,0.0,13,0.992906229265
84,155,-0.008886,0.052529,-3.008967,DSB+,4,0,0,DIRECT,1.0,0.0,18,0.622983283535
85,158,0.068989,-0.045751,-4.536903,DSB+,4,1,1,DIRECT,1.0,0.0,18,0.876309816738
86,159,0.014122,-0.043607,-3.347497,DSB,2,0,0,DIRECT,1.0,0.0,18,0.699506150108
87,159,0.011264,-0.045968,-1.877701,DSB+,3,1,1,DIRECT,1.0,0.0,22,0.004031321122
88,160,0.000215,-0.040157,-3.849173,DSB,2,2,1,DIRECT,1.0,0.0,18,0.710384824619
89,161,-0.029948,-0.049018,-3.717582,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.710354429779
90,162,-0.015739,-0.047184,-1.949553,DSB,2,0,0,DIRECT,1.0,0.0,22,0.003766632616
91,164,-0.030917,0.04102,-1.847221,DSB,2,0,0,DIRECT,1.0,0.0,22,0.005596598681
92,165,-0.073373,-0.017338,-0.685367,DSB,2,2,1,DIRECT,1.0,0.0,16,0.798124243228
93,165,-0.066882,-0.019128,-3.59083,DSB,2,0,0,DIRECT,1.0,0.0,18,0.701687443681
94,166,-0.0617537,0.103171,2.50492,DSB+,3,1,1,DIRECT,1.0,0.0,13,0.481948831959
95,166,-0.062352,0.102894,1.085351,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.905546924144
96,168,-0.002686,0.030595,-3.493169,DSB,2,0,0,DIRECT,1.0,0.0,18,0.700385619712
97,169,-0.0227178,0.0239557,2.10491,DSB,2,0,0,DIRECT,1.0,0.0,13,0.474750234815
98,174,-0.0273872,0.0243259,2.62986,DSB,2,1,1,DIRECT,1.0,0.0,13,0.553916602962
99,174,-0.023611,0.025714,-3.516004,DSB,2,0,0,DIRECT,1.0,0.0,18,0.70037828952
100,178,0.01317,-0.029616,-0.919384,DSB,2,0,0,DIRECT,1.0,0.0,16,0.796254775031
101,178,-0.205364,0.222858,-2.480709,DSB,2,1,1,DIRECT,1.0,0.0,18,0.522094977249
102,180,-0.106945,0.00898218,1.28467,DSB,2,1,1,DIRECT,1.0,0.0,13,0.828190838107
103,180,0.025896,0.058318,1.025833,DSB,2,0,0,DIRECT,1.0,0.0,13,0.904295654668
104,181,0.064349,-0.224923,2.711644,DSB,2,1,1,DIRECT,1.0,0.0,13,0.311349140695
105,181,-0.019618,0.013159,-2.911791,DSB,2,1,1,DIRECT,1.0,0.0,18,0.607073119189
106,183,-0.058653,-0.028642,-1.423937,DSB+,3,1,1,DIRECT,1.0,0.0,16,0.885324856146
107,185,-0.003121,-0.0298,-1.940219,DSB,2,0,0,DIRECT,1.0,0.0,22,0.00378177368
108,187,-0.018393,0.031492,-0.886601,DSB,2,1,1,DIRECT,1.0,0.0,16,0.797576367012
109,189,0.0204707,0.0290024,0.638623,DSB,2,0,0,DIRECT,1.0,0.0,13,0.994542465436
110,190,-0.037489,-0.032821,-0.313555,DSB,2,0,0,DIRECT,1.0,0.0,16,0.710773742553
111,190,-1.716516,1.108574,2.400843,DSB+,4,0,0,DIRECT,1.0,0.0,17,0.52002544295
112,190,-0.03621,-0.031827,-2.755082,DSB,2,0,0,DIRECT,1.0,0.0,18,0.321382170127
113,190,-0.498881,0.53548,-4.404681,DSB,2,0,0,DIRECT,1.0,0.0,22,0.662485528315
114,192,0.063431,-0.060708,-3.53354,DSB+,3,2,1,DIRECT,1.0,0.0,18,0.69890708999
115,192,0.063214,-0.061387,-2.761008,DSB,2,0,0,DIRECT,1.0,0.0,18,0.324791434765
116,193,-0.022808,-0.023401,-0.751042,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.796829292304
117,195,-0.074272,0.121515,-1.792959,DSB+,3,3,1,DIRECT,1.0,0.0,22,0.004615434427
118,196,-0.0231,-0.006463,-3.339174,DSB,2,0,0,DIRECT,1.0,0.0,18,0.6998150225
119,197,2.51022,-2.5671,0.624606,DSB,2,0,0,DIRECT,1.0,0.0,5,0.975666265765
120,198,-0.0618045,0.0280438,3.79716,DSB,2,0,0,DIRECT,1.0,0.0,13,0.19688402559
121,201,-0.022158,0.08953,-3.242105,DSB,2,0,0,DIRECT,1.0,0.0,18,0.622123656364
